Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM▼,BPM,VORP,Awards,Player-additional
1,Victor Wembanyama,22,SAS,C,64,55,1866,29.9,.626,.324,.417,7.7,33.9,21.2,17.6,1.7,9.4,10.8,32.4,5.0,5.0,10.0,.257,6.5,4.2,10.7,6.0,MVP-3DPOY-1ASNBA1DEF1,wembavi01
2,Nikola Jokić,30,DEN,C,65,65,2265,32.3,.670,.261,.424,10.0,30.4,20.7,50.3,2.0,2.2,15.3,30.4,11.5,3.4,14.9,.316,10.1,4.1,14.2,9.2,MVP-2CPOY-6ASNBA1,jokicni01
3,Ausar Thompson,23,DET,SF,73,72,1896,16.2,.545,.042,.331,9.0,15.6,12.4,16.3,3.7,3.6,14.3,16.9,1.5,4.1,5.7,.144,-0.6,3.6,3.1,2.4,DPOY-3DEF1,thompau01
4,Cason Wallace,22,OKC,SG,77,58,2046,12.1,.538,.493,.116,3.5,8.9,6.3,12.7,3.5,1.3,10.6,14.5,1.0,4.2,5.2,.122,-2.1,3.3,1.2,1.7,DPOY-7DEF2,wallaca01
5,Shai Gilgeous-Alexander,27,OKC,PG,68,68,2259,30.8,.665,.226,.465,1.9,11.7,7.0,35.0,2.0,2.3,8.7,33.4,11.1,4.1,15.2,.323,8.7,3.0,11.7,7.8,MVP-1CPOY-1ASNBA1,gilgesh01
6,Scottie Barnes,24,TOR,PF,80,80,2681,19.2,.577,.199,.264,6.3,19.3,12.7,26.3,2.1,4.2,14.3,23.4,3.3,4.5,7.8,.140,1.9,2.3,4.2,4.2,DPOY-5ASDEF2,barnesc01
7,Oso Ighodaro,23,PHO,PF,82,24,1808,13.8,.636,.003,.320,8.2,17.8,12.8,14.2,2.0,3.0,19.5,12.2,2.1,2.6,4.7,.125,-2.2,2.3,0.1,0.9,,ighodos01
8,Josh Hart,30,NYK,SF,66,52,1994,15.7,.612,.409,.211,5.2,22.1,13.6,21.6,1.9,0.9,16.5,16.7,3.1,3.0,6.1,.147,1.0,2.0,3.0,2.5,,hartjo01
9,Neemias Queta,26,BOS,C,76,75,1926,20.3,.674,.016,.351,13.4,22.7,18.1,9.3,1.6,5.2,11.5,14.7,5.4,3.6,9.0,.224,0.9,2.0,2.8,2.4,,quetane01
10,Chet Holmgren,23,OKC,PF,69,69,1997,21.6,.653,.312,.365,7.4,25.3,16.7,8.6,1.0,6.4,10.6,21.9,4.4,4.7,9.1,.219,2.4,1.9,4.2,3.1,DPOY-2ASNBA3DEF1,holmgch01
11,Dyson Daniels,22,ATL,SG,76,76,2520,15.5,.542,.151,.157,7.8,14.7,11.2,23.9,2.8,1.1,14.0,16.0,3.1,3.6,6.6,.126,-0.6,1.8,1.3,2.1,DPOY-9DEF2,daniedy01
12,Jalen Suggs,24,ORL,PG,57,56,1574,15.6,.561,.555,.180,2.5,13.2,7.8,29.6,3.2,2.3,17.8,22.9,0.3,2.4,2.7,.083,0.7,1.8,2.5,1.8,,suggsja01
13,Cade Cunningham,24,DET,PG,64,64,2172,21.6,.564,.308,.321,2.9,15.2,9.2,45.2,2.0,2.5,14.8,30.5,4.2,3.6,7.9,.174,4.8,1.5,6.3,4.6,MVP-5CPOY-4ASNBA1,cunnica01
14,Alperen Şengün,23,HOU,C,72,72,2398,21.4,.569,.117,.335,10.1,19.4,14.8,28.9,1.8,3.0,15.0,26.6,4.4,3.6,8.0,.161,2.7,1.5,4.2,3.7,AS,sengual01
15,Reed Sheppard,21,HOU,SG,82,21,2147,15.7,.564,.609,.091,1.5,10.7,6.1,18.6,2.8,2.3,11.1,21.7,2.7,3.1,5.9,.131,1.2,1.5,2.7,2.5,6MOY-6,sheppre01
